id_order,date,id_product,id_store,qtd
93507,2024-05-14,PROD-011,LJ-08,100
82309,27/12/2024,PROD-028,LJ-09,100
11267,,PROD-005,LJ-03,2
81511,2024-01-19,PROD-024,LJ-10,4
82420,2024-03-16,PROD-028,LJ-03,100
15482,2024-06-06,PROD-024,LJ-01,5
56898,2024-04-17,PROD-044,LJ-04,2
97416,2024-02-22,PROD-023,LJ-09,2
63264,2024-11-13,PROD-048,LJ-03,4
41029,2024-03-24,PROD-012,LJ-07,2
13248,2024-04-01,PROD-048,,2
63964,2024-12-08,PROD-048,LJ-04,100
44970,2024-03-22,PROD-045,LJ-02,4
60140,2024-01-20,PROD-031,LJ-04,100
36158,,PROD-023,LJ-05,100
39831,2024-04-24,PROD-002,LJ-04,4
62227,,PROD-018,LJ-02,1
46585,2024-06-28,PROD-042,LJ-09,100
62386,,PROD-035,,5
13617,2024-02-29,PROD-017,LJ-03,5
86099,15/05/2024,PROD-003,LJ-02,2
88193,2024-08-10,PROD-023,LJ-06,5
67199,2024-11-06,PROD-033,LJ-02,2
60488,2024-10-22,PROD-013,LJ-05,1
15817,2024-12-28,PROD-028,,4
78146,2024-10-02,PROD-044,LJ-04,4
57739,2024-08-08,PROD-005,LJ-06,4
91678,2024-06-09,PROD-043,,5
49363,2024-09-16,PROD-020,LJ-07,1
52753,,PROD-045,LJ-05,5
82667,2024-03-06,PROD-013,LJ-07,5
97153,,PROD-044,LJ-03,1
90676,2024-10-18,PROD-020,LJ-07,1
81819,2024-01-01,PROD-020,LJ-05,1
37549,2024-08-08,PROD-038,LJ-10,1
95813,2024-06-13,PROD-030,LJ-08,4
67954,2024-12-11,PROD-014,,3
72021,2024-03-27,PROD-043,LJ-02,3
47196,2024-09-20,PROD-043,LJ-10,1
53933,17/02/2024,PROD-049,LJ-04,3
98184,2024-06-07,PROD-015,LJ-04,3
29313,13/01/2024,PROD-003,LJ-04,1
72277,2024-11-08,PROD-050,LJ-02,3
69692,2024-07-31,PROD-041,LJ-10,5
35485,2024-12-22,PROD-025,LJ-08,2
62383,2024-05-04,PROD-010,LJ-01,2
23970,2024-08-05,PROD-015,LJ-03,1
77889,2024-08-25,PROD-004,LJ-09,4
42662,2024-03-03,PROD-030,LJ-03,1
70901,2024-12-07,PROD-034,,4
88047,2024-06-11,PROD-049,LJ-08,2
90301,2024-09-15,PROD-028,LJ-09,1
68446,2024-03-22,PROD-048,LJ-08,100
68991,2024-05-12,PROD-049,,5
93579,2024-05-21,PROD-050,LJ-09,3
73517,2024-11-16,PROD-016,LJ-05,4
67654,2024-02-09,PROD-046,LJ-05,100
40735,2024-05-19,PROD-022,LJ-06,3
80798,,PROD-009,LJ-03,3
40311,,PROD-045,LJ-03,1
38043,2024-02-02,PROD-027,LJ-07,3
53369,04/10/2024,PROD-030,,5
18161,2024-04-15,PROD-027,LJ-07,100
86556,2024-12-22,PROD-002,LJ-10,3
59857,2024-09-01,PROD-001,LJ-06,1
49139,2024-07-18,PROD-027,LJ-09,5
81582,04/11/2024,PROD-015,LJ-08,2
38760,2024-05-19,PROD-028,LJ-08,100
13804,2024-07-18,PROD-022,LJ-07,3
31632,,PROD-009,LJ-10,1
80008,2024-01-14,PROD-026,LJ-10,2
83975,2024-12-05,PROD-002,,2
94246,2024-08-07,PROD-009,LJ-08,4
33819,2024-01-26,PROD-017,LJ-07,5
52906,2024-04-18,PROD-030,LJ-06,3
54236,2024-07-13,PROD-018,LJ-07,1
43065,11/02/2024,PROD-031,,4
80702,2024-01-27,PROD-023,LJ-04,5
95215,2024-02-05,PROD-050,LJ-01,4
14067,,PROD-013,LJ-01,100
91439,2024-03-19,PROD-016,,5
72070,2024-12-08,PROD-008,LJ-10,5
38569,,PROD-045,LJ-05,3
58351,26/03/2024,PROD-039,LJ-10,5
25012,24/03/2024,PROD-020,LJ-02,4
85849,2024-01-14,PROD-020,LJ-10,5
98781,11/07/2024,PROD-026,LJ-04,3
19961,2024-10-30,PROD-045,LJ-04,-3
23356,22/12/2024,PROD-050,LJ-05,100
99687,2024-11-03,PROD-008,,4
15383,26/06/2024,PROD-035,LJ-07,2
96706,2024-07-08,PROD-005,LJ-09,2
94874,23/06/2024,PROD-001,LJ-07,5
74251,24/02/2024,PROD-028,LJ-06,100
93307,2024-08-23,PROD-046,LJ-03,1
67080,2024-03-31,PROD-047,LJ-09,5
95256,2024-05-18,PROD-040,LJ-09,100
73372,2024-08-26,PROD-028,LJ-10,4
45179,2024-06-14,PROD-016,LJ-02,4
46559,,PROD-016,LJ-08,4
84691,2024-13-45,PROD-043,LJ-07,4
54092,2024-01-15,PROD-032,LJ-06,4
33834,06/09/2024,PROD-014,LJ-06,100
43862,2024-06-23,PROD-018,,100
46211,2024-10-11,PROD-001,LJ-09,3
35042,2024-02-13,PROD-016,LJ-07,2
74038,2024-10-11,PROD-049,LJ-04,4
72402,2024-11-26,PROD-046,LJ-08,1
68743,2024-01-09,PROD-006,LJ-05,100
39045,2024-07-26,PROD-045,LJ-04,1
50135,2024-12-05,PROD-038,LJ-06,1
72031,2024-10-10,PROD-034,LJ-06,1
65771,2024-10-08,PROD-022,LJ-06,3
69473,2024-05-18,PROD-020,LJ-05,100
40217,2024-03-02,PROD-047,LJ-04,1
51359,02/03/2024,PROD-048,LJ-09,4
34267,2024-04-08,PROD-014,LJ-08,-5
46241,2024-10-28,PROD-049,LJ-09,1
88222,2024-05-24,PROD-007,LJ-04,3
48829,2024-04-26,PROD-024,,100
49618,2024-01-08,PROD-046,LJ-09,3
26591,,PROD-003,LJ-01,1
82529,,PROD-045,LJ-03,100
93606,08/09/2024,PROD-007,LJ-01,5
85243,25/05/2024,PROD-031,LJ-08,1
67733,2024-06-23,PROD-012,LJ-01,3
43092,2024-09-01,PROD-008,LJ-02,2
62521,2024-09-08,PROD-005,LJ-10,4
92502,17/12/2024,PROD-004,LJ-03,3
29555,2024-10-15,PROD-020,LJ-02,100
42530,2024-03-01,PROD-036,,1
89471,2024-11-01,PROD-040,LJ-04,4
78494,,PROD-029,LJ-08,1
48974,,PROD-028,LJ-05,100
84531,2024-11-13,PROD-004,LJ-10,1
23006,16/04/2024,PROD-041,LJ-04,2
44687,2024-12-04,PROD-006,LJ-03,4
41439,29/03/2024,PROD-036,LJ-02,4
30517,2024-01-02,PROD-027,LJ-08,100
87832,2024-08-28,PROD-019,LJ-01,2
40340,2024-05-27,PROD-046,LJ-05,3
69510,,PROD-044,LJ-04,1
44675,2024-11-16,PROD-038,LJ-04,5
65723,2024-02-28,PROD-035,LJ-04,1
94886,2024-03-17,PROD-018,LJ-03,1
19359,,PROD-011,LJ-05,3
87993,2024-10-18,PROD-019,LJ-08,1
26299,2024-08-27,PROD-045,LJ-05,2
62757,19/05/2024,PROD-033,LJ-09,2
74722,2024-08-12,PROD-006,LJ-10,4
15224,2024-08-09,PROD-048,LJ-06,100
89129,2024-05-08,PROD-002,LJ-02,5
40005,,PROD-037,LJ-10,1
12719,2024-12-10,PROD-018,LJ-10,1
15273,30/03/2024,PROD-031,LJ-09,3
95394,,PROD-018,LJ-03,100
86720,2024-08-11,PROD-041,LJ-08,2
21959,2024-08-28,PROD-023,LJ-07,5
53687,2024-06-13,PROD-043,LJ-02,4
31079,17/06/2024,PROD-027,LJ-08,2
47777,2024-12-05,PROD-026,LJ-09,100
14809,2024-08-20,PROD-006,LJ-06,4
43082,2024-06-14,PROD-008,LJ-07,3
77449,2024-01-01,PROD-043,LJ-09,3
70552,30/07/2024,PROD-004,LJ-04,1
77952,2024-07-04,PROD-040,LJ-08,100
91973,2024-08-14,PROD-049,LJ-01,5
36680,,PROD-036,LJ-03,4
47752,12/08/2024,PROD-045,LJ-08,2
25915,2024-01-15,PROD-041,LJ-10,100
41365,29/12/2024,PROD-011,LJ-05,100
82199,2024-01-08,PROD-036,LJ-07,3
22217,2024-04-25,PROD-008,LJ-08,1
25396,2024-11-27,PROD-010,LJ-08,1
48254,2024-09-17,PROD-046,LJ-05,4
64459,04/09/2024,PROD-031,LJ-04,3
69871,09/10/2024,PROD-010,LJ-07,100
34983,2024-11-02,PROD-033,LJ-03,5
19150,2024-05-21,PROD-050,LJ-07,3
54548,,PROD-018,LJ-01,4
47072,2024-06-01,PROD-038,LJ-10,4
96499,,PROD-010,,3
80592,2024-09-04,PROD-023,LJ-06,4
82340,05/10/2024,PROD-025,LJ-08,3
52176,2024-04-06,PROD-045,LJ-04,2
84946,2024-07-15,PROD-015,LJ-07,3
15720,2024-06-11,PROD-048,LJ-08,3
59968,16/07/2024,PROD-043,LJ-03,4
74923,2024-01-19,PROD-009,LJ-09,4
87356,2024-06-18,PROD-007,LJ-08,1
23069,2024-09-26,PROD-030,LJ-01,1
28894,2024-07-28,PROD-042,LJ-03,2
19807,2024-08-28,PROD-017,LJ-06,1
91691,2024-12-20,PROD-026,LJ-02,3
53065,2024-12-11,PROD-035,LJ-07,4
51505,2024-11-16,PROD-046,LJ-08,1
80912,2024-01-19,PROD-040,LJ-02,1
40771,2024-11-19,PROD-044,LJ-05,2
39817,2024-02-16,PROD-028,LJ-02,100
93066,,PROD-007,LJ-08,2
31805,2024-12-21,PROD-020,LJ-01,3
16028,2024-06-15,PROD-004,LJ-05,4
56984,2024-07-10,PROD-028,LJ-03,2
42007,28/09/2024,PROD-027,LJ-10,1
99364,02/04/2024,PROD-011,LJ-03,4
20350,2024-11-08,PROD-025,LJ-10,4
99539,2024-05-03,PROD-032,LJ-10,1
28758,2024-04-28,PROD-030,LJ-05,2
70236,2024-05-10,PROD-043,,1
70981,2024-05-27,PROD-044,LJ-09,100
30706,2024-02-07,PROD-029,LJ-06,4
87014,2024-06-02,PROD-041,LJ-07,5
42780,2024-08-21,PROD-020,LJ-04,5
60422,2024-09-04,PROD-007,LJ-04,3
59986,2024-10-19,PROD-023,LJ-10,1
48780,2024-12-24,PROD-019,LJ-01,1
96275,,PROD-018,LJ-01,3
84177,2024-12-17,PROD-050,LJ-01,3
89482,11/09/2024,PROD-019,LJ-04,3
89569,2024-06-29,PROD-015,LJ-04,4
91381,,PROD-044,LJ-03,100
92345,2024-02-19,PROD-041,LJ-01,1
50492,2024-08-13,PROD-003,LJ-10,4
57823,2024-03-08,PROD-006,LJ-05,3
52823,2024-07-31,PROD-012,LJ-04,1
27322,2024-10-03,PROD-024,LJ-09,4
75771,19/05/2024,PROD-011,LJ-05,100
73156,2024-05-31,PROD-048,LJ-06,4
25095,2024-08-27,PROD-005,LJ-03,100
39571,2024-12-12,PROD-047,,3
83048,2024-07-06,PROD-006,LJ-07,100
11824,15/05/2024,PROD-035,LJ-02,1
69609,07/07/2024,PROD-044,LJ-05,3
86619,2024-07-14,PROD-041,LJ-06,1
24201,,PROD-015,,5
13280,2024-11-13,PROD-036,LJ-06,2
89964,2024-04-23,PROD-042,LJ-02,100
93283,2024-08-25,PROD-045,LJ-05,2
95097,2024-07-28,PROD-008,LJ-03,2
15943,2024-01-20,PROD-020,LJ-08,100
25220,2024-02-19,PROD-016,LJ-09,3
27781,2024-07-17,PROD-030,,5
97881,2024-12-22,PROD-035,LJ-07,1
86983,2024-03-20,PROD-027,LJ-02,4
74139,,PROD-027,LJ-05,1
14288,2024-12-19,PROD-024,LJ-04,4
68115,15/08/2024,PROD-016,,1
23022,,PROD-024,LJ-09,100
94518,2024-07-02,PROD-004,LJ-07,5
46160,2024-04-07,PROD-008,LJ-08,4
22015,2024-12-05,PROD-014,LJ-10,3
12799,2024-01-26,PROD-022,,1
26505,2024-10-16,PROD-014,LJ-02,1
82641,2024-04-16,PROD-038,LJ-04,4
40539,2024-06-17,PROD-050,LJ-03,3
88116,02/01/2024,PROD-018,LJ-03,3
27038,03/10/2024,PROD-017,LJ-03,100
24408,2024-12-04,PROD-002,LJ-03,100
11947,2024-13-45,PROD-016,LJ-10,100
52437,2024-01-09,PROD-012,LJ-05,100
16868,2024-03-05,PROD-048,LJ-07,100
78955,28/02/2024,PROD-048,LJ-02,100
72422,17/08/2024,PROD-050,LJ-06,5
77271,2024-10-30,PROD-007,LJ-08,3
76039,2024-04-23,PROD-040,LJ-01,100
96363,2024-09-23,PROD-020,,3
94323,2024-01-16,PROD-004,LJ-08,3
62640,2024-08-06,PROD-044,LJ-02,2
74260,30/12/2024,PROD-029,LJ-02,5
20589,,PROD-039,LJ-03,100
18609,2024-03-05,PROD-018,LJ-10,1
92978,2024-10-26,PROD-036,,4
59925,2024-11-01,PROD-034,LJ-05,1
69469,2024-09-15,PROD-039,LJ-07,5
22999,,PROD-008,LJ-09,4
38183,2024-08-08,PROD-029,,5
64239,2024-06-22,PROD-030,,3
64524,2024-02-18,PROD-021,LJ-07,4
50963,2024-12-06,PROD-017,LJ-06,3
30006,2024-12-17,PROD-031,,1
21957,2024-02-13,PROD-006,LJ-07,1
22656,,PROD-009,LJ-09,4
17861,2024-10-27,PROD-036,LJ-09,4
53207,2024-12-09,PROD-008,LJ-07,100
56346,2024-12-06,PROD-049,LJ-07,5
16743,2024-05-27,PROD-039,LJ-05,100
56090,2024-02-23,PROD-037,LJ-09,5
37884,,PROD-043,LJ-08,100
39392,25/02/2024,PROD-023,LJ-09,3
58176,28/02/2024,PROD-049,LJ-05,4
85248,2024-04-25,PROD-028,,1
91490,2024-11-10,PROD-044,LJ-09,5
13441,2024-11-07,PROD-043,LJ-05,5
13794,02/04/2024,PROD-018,LJ-05,1
54541,2024-06-28,PROD-001,LJ-03,100
28776,,PROD-043,LJ-07,5
19120,2024-03-13,PROD-048,LJ-01,3
22026,2024-09-28,PROD-014,,4
65028,2024-08-20,PROD-022,LJ-03,1
58503,08/06/2024,PROD-047,,4
84395,2024-11-01,PROD-006,LJ-01,5
30392,2024-03-21,PROD-049,LJ-10,5
16522,2024-12-11,PROD-006,LJ-05,1
68079,2024-12-04,PROD-028,LJ-08,3
89570,2024-08-14,PROD-027,LJ-05,2
38255,19/09/2024,PROD-008,LJ-06,1
66349,2024-02-26,PROD-019,LJ-10,2
73783,26/09/2024,PROD-043,LJ-05,100
15952,2024-04-22,PROD-026,LJ-10,2
17180,,PROD-014,LJ-05,3
37686,2024-03-11,PROD-049,LJ-05,100
47938,2024-13-45,PROD-008,LJ-01,2
75193,08/08/2024,PROD-012,LJ-03,100
59834,,PROD-046,LJ-04,2
75570,2024-10-13,PROD-043,LJ-06,3
19447,2024-07-22,PROD-048,LJ-01,2
67176,10/01/2024,PROD-030,LJ-02,2
51033,,PROD-028,LJ-10,2
63008,2024-12-29,PROD-041,LJ-07,1
47947,2024-02-28,PROD-026,LJ-01,1
52568,2024-03-28,PROD-040,LJ-08,1
57428,,PROD-028,LJ-02,3
41891,2024-08-11,PROD-038,LJ-07,100
78676,2024-02-10,PROD-026,LJ-05,5
54500,2024-04-23,PROD-022,LJ-03,2
20011,2024-09-18,PROD-041,LJ-02,2
79547,2024-09-18,PROD-013,LJ-06,3
56019,2024-11-26,PROD-010,LJ-04,2
23474,2024-03-15,PROD-017,,1
32740,2024-11-04,PROD-010,,5
33218,2024-11-17,PROD-032,LJ-08,4
83889,2024-10-23,PROD-029,LJ-10,2
94278,21/11/2024,PROD-040,LJ-06,1
92210,,PROD-010,LJ-08,4
18950,2024-08-28,PROD-029,LJ-05,5
46002,2024-10-29,PROD-004,LJ-06,4
76497,2024-02-07,PROD-020,LJ-08,1
69233,2024-01-20,PROD-004,LJ-06,100
47627,2024-02-09,PROD-042,LJ-02,100
90610,2024-10-31,PROD-033,LJ-07,4
70648,2024-10-24,PROD-036,LJ-01,3
68947,,PROD-042,LJ-04,4
52143,2024-11-05,PROD-031,LJ-09,2
29773,2024-02-01,PROD-029,LJ-02,2
55015,2024-12-31,PROD-006,LJ-09,100
94689,2024-03-29,PROD-003,LJ-04,3
67377,2024-08-12,PROD-034,,1
89928,2024-03-22,PROD-024,LJ-06,2
47079,2024-07-17,PROD-027,LJ-06,100
98984,2024-11-02,PROD-004,LJ-06,5
18639,2024-06-17,PROD-007,LJ-09,100
98916,2024-07-16,PROD-019,LJ-05,2
96057,2024-11-04,PROD-010,LJ-06,2
20682,2024-10-25,PROD-043,LJ-03,100
55851,2024-06-07,PROD-042,LJ-07,1
26901,2024-10-31,PROD-046,LJ-02,4
50577,13/10/2024,PROD-025,LJ-06,2
26750,2024-12-09,PROD-045,LJ-09,100
22249,2024-11-26,PROD-043,LJ-07,100
76648,2024-07-04,PROD-002,LJ-06,3
50483,2024-04-02,PROD-014,LJ-06,4
73736,08/04/2024,PROD-015,LJ-03,5
30308,2024-02-09,PROD-019,LJ-02,1
76543,03/10/2024,PROD-048,LJ-09,5
14947,2024-12-04,PROD-022,LJ-10,4
27176,2024-11-01,PROD-025,LJ-03,4
31266,2024-04-02,PROD-045,LJ-10,4
31697,2024-08-12,PROD-003,LJ-07,5
57749,2024-12-12,PROD-047,LJ-04,4
68222,2024-11-08,PROD-019,LJ-08,100
40671,30/09/2024,PROD-016,LJ-05,5
71474,2024-04-09,PROD-024,LJ-10,4
67749,2024-08-24,PROD-050,LJ-05,100
60052,2024-09-14,PROD-034,LJ-07,3
31241,2024-04-12,PROD-039,LJ-03,4
42768,2024-01-27,PROD-042,LJ-08,5
58655,2024-10-10,PROD-007,LJ-09,2
26341,2024-05-25,PROD-006,LJ-03,4
45755,2024-08-18,PROD-033,LJ-03,2
67340,2024-02-16,PROD-015,LJ-08,100
55820,2024-01-14,PROD-027,LJ-01,3
61964,2024-09-14,PROD-024,LJ-04,1
60615,2024-02-11,PROD-024,LJ-04,3
13694,2024-06-12,PROD-007,LJ-06,4
29142,2024-03-11,PROD-003,LJ-05,2
71925,2024-12-22,PROD-009,LJ-08,2
68799,2024-11-11,PROD-001,LJ-02,5
12490,2024-05-11,PROD-014,,2
81932,2024-11-07,PROD-034,LJ-07,5
24573,2024-05-27,PROD-016,LJ-05,100
25970,2024-01-25,PROD-016,LJ-07,1
93748,14/11/2024,PROD-030,LJ-02,4
24530,12/09/2024,PROD-039,LJ-09,5
12154,2024-11-19,PROD-033,LJ-10,1
41711,2024-03-14,PROD-019,LJ-07,2
10205,2024-11-10,PROD-023,LJ-04,2
84798,,PROD-012,,1
78614,2024-07-03,PROD-005,LJ-09,2
81313,2024-09-16,PROD-033,LJ-09,100
12665,2024-07-18,PROD-031,LJ-01,100
93318,2024-07-17,PROD-024,LJ-05,1
12128,2024-07-01,PROD-005,LJ-06,5
41604,2024-12-02,PROD-041,LJ-02,5
86271,2024-06-19,PROD-009,LJ-01,1
56176,2024-10-06,PROD-022,LJ-03,5
99742,2024-08-25,PROD-045,LJ-08,5
92802,,PROD-009,LJ-02,100
69988,2024-01-19,PROD-019,LJ-04,5
15741,2024-04-12,PROD-003,LJ-06,3
50642,2024-09-20,PROD-026,LJ-09,4
72049,2024-05-09,PROD-003,LJ-04,2
47501,2024-07-01,PROD-050,,3
95948,2024-06-18,PROD-018,,5
58237,2024-08-11,PROD-026,,100
60678,2024-06-22,PROD-012,LJ-08,1
75211,,PROD-034,LJ-05,5
20828,2024-08-05,PROD-006,LJ-07,100
88964,,PROD-035,,4
52101,2024-02-22,PROD-006,LJ-06,5
96628,2024-05-31,PROD-020,LJ-08,1
88986,,PROD-011,LJ-08,100
56077,2024-08-16,PROD-003,LJ-06,100
90589,2024-08-10,PROD-018,LJ-01,100
19835,2024-12-09,PROD-041,,4
57619,2024-09-19,PROD-048,LJ-03,5
14081,,PROD-039,LJ-08,4
14561,2024-03-05,PROD-005,LJ-04,2
94562,06/07/2024,PROD-024,LJ-07,2
84349,,PROD-039,LJ-03,5
99006,2024-08-18,PROD-024,LJ-06,4
68188,2024-02-09,PROD-037,LJ-03,1
79397,2024-07-06,PROD-026,LJ-06,100
95139,2024-05-22,PROD-016,LJ-02,100
13396,2024-04-05,PROD-032,LJ-09,5
60723,2024-10-14,PROD-008,,2
44116,,PROD-029,LJ-04,2
90199,2024-05-26,PROD-045,LJ-08,100
36237,,PROD-009,LJ-02,5
69250,2024-03-29,PROD-046,LJ-08,4
21506,2024-12-15,PROD-021,LJ-06,2
18511,2024-10-08,PROD-035,LJ-05,4
49315,2024-03-21,PROD-046,LJ-03,2
57381,2024-09-17,PROD-015,LJ-02,2
36342,2024-03-12,PROD-016,LJ-08,3
13445,,PROD-036,LJ-10,2
58353,,PROD-036,LJ-03,1
90209,2024-02-14,PROD-005,LJ-05,5
62187,02/09/2024,PROD-034,LJ-07,5
63665,2024-10-21,PROD-005,,4
51553,2024-11-24,PROD-005,LJ-08,2
71057,2024-12-14,PROD-034,LJ-06,1
26821,2024-10-09,PROD-041,LJ-10,4
33850,2024-03-07,PROD-028,LJ-09,3
17263,,PROD-034,LJ-03,4
49862,2024-03-25,PROD-011,LJ-06,4
39552,2024-06-26,PROD-034,,2
20336,2024-05-08,PROD-013,LJ-09,3
45972,2024-03-05,PROD-041,LJ-05,4
90534,2024-09-30,PROD-006,LJ-09,1
94015,2024-03-27,PROD-038,LJ-10,1
30210,2024-03-28,PROD-043,LJ-10,5
89316,2024-06-21,PROD-037,LJ-01,3
13718,2024-02-11,PROD-003,LJ-10,3
44688,2024-11-29,PROD-014,LJ-10,5
64602,2024-11-12,PROD-041,LJ-01,4
75278,2024-11-17,PROD-035,LJ-05,3
94136,03/06/2024,PROD-031,LJ-04,1
99783,2024-07-26,PROD-020,LJ-08,1
19564,2024-12-18,PROD-004,LJ-03,2
67619,2024-07-31,PROD-031,LJ-08,3
36741,2024-06-23,PROD-039,LJ-03,4
50970,2024-06-12,PROD-047,LJ-06,5
62260,,PROD-049,LJ-06,5
77499,2024-10-14,PROD-007,,4
41685,2024-08-26,PROD-008,LJ-05,100
68929,2024-05-06,PROD-010,LJ-02,2
16632,2024-05-28,PROD-025,LJ-10,5
64805,07/05/2024,PROD-011,LJ-06,3
85718,2024-06-09,PROD-013,LJ-03,2
75308,2024-09-20,PROD-030,LJ-08,3
50441,2024-09-11,PROD-002,LJ-02,1
61543,,PROD-030,LJ-04,2
38199,2024-10-25,PROD-023,,5
16624,2024-05-24,PROD-032,LJ-10,2
95755,2024-12-10,PROD-031,LJ-05,2
80345,2024-01-05,PROD-007,LJ-07,2
27555,2024-05-15,PROD-047,LJ-06,100
62855,2024-07-06,PROD-003,LJ-07,2
16705,18/10/2024,PROD-036,LJ-04,3
57516,2024-10-10,PROD-019,LJ-02,1
60639,2024-09-15,PROD-029,LJ-09,4
46663,15/11/2024,PROD-044,LJ-10,2
25572,2024-03-06,PROD-007,LJ-07,5
58915,2024-06-22,PROD-036,,2
28909,2024-04-11,PROD-039,LJ-09,5
62610,2024-09-13,PROD-003,LJ-01,3
15100,,PROD-046,LJ-06,5
72094,2024-09-22,PROD-030,,4
89463,2024-13-45,PROD-009,LJ-06,1
90356,2024-06-12,PROD-011,LJ-07,5
90805,2024-06-02,PROD-038,LJ-06,5
76494,,PROD-035,LJ-08,1
83783,2024-06-02,PROD-031,LJ-01,4
58281,2024-06-18,PROD-044,LJ-02,2
64596,2024-10-25,PROD-020,LJ-01,5
88238,2024-08-30,PROD-017,LJ-10,1
85711,2024-04-26,PROD-047,LJ-01,3
86483,2024-09-02,PROD-011,,1
92447,2024-11-13,PROD-050,LJ-07,3
29369,2024-12-14,PROD-016,LJ-01,4
85047,24/12/2024,PROD-008,LJ-04,2
12482,2024-08-13,PROD-021,LJ-07,1
29848,2024-07-30,PROD-045,LJ-04,100
63788,2024-09-13,PROD-050,LJ-10,5
71814,2024-02-01,PROD-046,LJ-03,4
77984,2024-04-16,PROD-036,LJ-06,1
96799,2024-09-01,PROD-034,,5
51124,,PROD-030,LJ-09,1
54869,2024-10-06,PROD-023,LJ-05,3
89963,2024-09-04,PROD-013,LJ-04,1
46569,12/10/2024,PROD-020,,100
49008,27/05/2024,PROD-046,LJ-04,1
74094,2024-06-11,PROD-031,LJ-06,1
83464,20/05/2024,PROD-019,LJ-02,100
85166,2024-13-45,PROD-035,LJ-07,4
61712,25/06/2024,PROD-050,LJ-03,1
48070,2024-01-22,PROD-019,LJ-02,100
55398,2024-08-14,PROD-042,LJ-05,5
72793,2024-04-19,PROD-013,LJ-09,3
45537,,PROD-045,LJ-05,3
27992,2024-02-25,PROD-040,LJ-10,1
41363,,PROD-004,LJ-09,4
39579,2024-11-22,PROD-015,LJ-01,4
23133,30/07/2024,PROD-022,LJ-08,5
23178,2024-12-14,PROD-050,LJ-03,1
10679,2024-10-08,PROD-011,LJ-07,3
95575,2024-08-31,PROD-031,,4
47649,2024-06-13,PROD-019,LJ-01,1
21725,2024-11-29,PROD-037,LJ-04,4
80143,,PROD-012,LJ-07,100
